,country,sort,tools,math_average
167,Slovenia,34,computer,497.207072234
168,Hungary,35,computer,490.114125598
169,Qatar,36,computer,488.699801994
170,Spain,37,computer,486.243092321
171,Serbia,38,computer,486.963289326
172,Uruguay,39,computer,487.275134389
173,Switzerland,40,computer,482.596586514
174,Luxembourg,41,computer,482.208357393
175,Croatia,42,computer,472.90141367
176,Italy,43,computer,474.908965719
177,Florida (USA),44,computer,471.098704908
178,Greece,45,computer,459.674301136
179,United Arab Emirates,46,computer,467.666462905
180,Singapore,47,computer,452.153807448
181,Russian Federation,48,computer,453.163758069
182,Chile,49,computer,452.942258083
183,Bulgaria,50,computer,450.652271841
184,Tunisia,51,computer,460.70669168
185,Korea,52,computer,444.689508042
186,United Kingdom,53,computer,436.674567418
187,Massachusetts (USA),54,computer,440.976181574
188,Montenegro,55,computer,435.926627561
189,Vietnam,56,computer,420.42120247
190,Netherlands,57,computer,412.87520086
191,Costa Rica,58,computer,420.126980405
192,Argentina,59,computer,404.488331263
193,Albania,60,computer,394.701998956
194,Turkey,61,computer,410.281690616
195,Colombia,62,computer,403.010452316
196,Kazakhstan,63,computer,393.095974711
197,Brazil,64,computer,404.840688438
198,Romania,65,computer,385.874000603
199,Indonesia,66,computer,411.829478123
200,Poland,67,computer,402.427274959
201,China-Shanghai,1,both,620.95003071
202,Slovak Republic,2,both,497.72529762
203,Hong Kong-China,3,both,565.299569309
204,Chinese Taipei,4,both,563.714102536
205,Latvia,5,both,500.556897559
206,Malaysia,6,both,438.615443383
207,Lithuania,7,both,482.938478088
208,Jordan,8,both,392.720817058
209,Estonia,9,both,522.693909199
210,Thailand,10,both,461.441827852
211,Portugal,11,both,492.660071575
212,Belgium,12,both,527.607945428
213,Czech Republic,13,both,523.668973337
214,New Zealand,14,both,511.043250851
215,Germany,15,both,525.193731129
216,Canada,16,both,513.673181488
217,Austria,17,both,512.88455168
218,Finland,18,both,512.923240319
219,Mexico,19,both,437.149451832
220,Norway,20,both,492.766845516
221,Connecticut (USA),21,both,507.933924774
222,Ireland,22,both,506.258734723
223,France,23,both,510.310161887
224,Liechtenstein,24,both,541.385942553
225,Sweden,25,both,484.503604864
226,Iceland,26,both,495.702204911
227,Australia,27,both,500.621588804
228,Japan,28,both,549.106359012
229,Macao-China,29,both,540.190622766
230,Perm(Russian Federation),30,both,490.198893133
231,United States of America,31,both,489.600817365
232,Peru,32,both,403.172237783
233,Denmark,33,both,492.132738017
234,Slovenia,34,both,486.055808724
235,Hungary,35,both,490.01148176
236,Qatar,36,both,385.054622489
237,Spain,37,both,500.001264499
238,Serbia,38,both,450.553429671
239,Uruguay,39,both,428.219510455
240,Switzerland,40,both,525.959390061
241,Luxembourg,41,both,497.114633987
242,Croatia,42,both,472.539689798
243,Italy,43,both,495.524842669
244,Florida (USA),44,both,475.39740593
245,Greece,45,both,460.676366209
246,United Arab Emirates,46,both,437.376055048
247,Singapore,47,both,576.384308452
248,Russian Federation,48,both,486.382557476
249,Chile,49,both,457.579731448
