,country,sort,tools,math_average
164,Macao-China,31,internet,492.565470811
165,Peru,32,internet,492.017441614
166,Perm(Russian Federation),33,internet,491.936925154
167,Hungary,34,internet,490.409647699
168,Qatar,35,internet,489.433508986
169,Denmark,36,internet,488.058865631
170,Serbia,37,internet,486.870034335
171,Uruguay,38,internet,486.829591225
172,Spain,39,internet,485.50405263
173,Luxembourg,40,internet,483.282584782
174,Switzerland,41,internet,482.456345666
175,Italy,42,internet,476.028206311
176,Croatia,43,internet,472.720163916
177,Florida (USA),44,internet,470.456028154
178,United Arab Emirates,45,internet,468.532269635
179,Tunisia,46,internet,468.177321016
180,Greece,47,internet,460.066742595
181,Chile,48,internet,457.151544227
182,Russian Federation,49,internet,455.906978375
183,Singapore,50,internet,454.267555408
184,Bulgaria,51,internet,450.275051788
185,Korea,52,internet,446.957435686
186,Massachusetts (USA),53,internet,442.612194537
187,Montenegro,54,internet,437.557369925
188,United Kingdom,55,internet,436.699728571
189,Vietnam,56,internet,425.402403055
190,Costa Rica,57,internet,421.994969767
191,Netherlands,58,internet,413.117746929
192,Argentina,59,internet,410.397918695
193,Indonesia,60,internet,408.66197288
194,Turkey,61,internet,407.438327337
195,Poland,62,internet,407.29047769
196,Colombia,63,internet,405.021994342
197,Brazil,64,internet,398.678612039
198,Kazakhstan,65,internet,397.727903126
199,Albania,66,internet,396.615837879
200,Romania,67,internet,385.10324495
201,China-Shanghai,1,room,615.925482765
202,Slovak Republic,2,room,488.923612461
203,Hong Kong-China,3,room,565.067600505
204,Chinese Taipei,4,room,558.103849359
205,Latvia,5,room,498.261773485
206,Jordan,6,room,387.590609218
207,Malaysia,7,room,422.329351777
208,Lithuania,8,room,480.004232796
209,Estonia,9,room,523.011561908
210,Belgium,10,room,525.487616586
211,Portugal,11,room,490.746303065
212,Czech Republic,12,room,521.295423854
213,Thailand,13,room,444.260899735
214,Germany,14,room,522.756582971
215,New Zealand,15,room,506.32261264
216,Canada,16,room,512.042956912
217,Mexico,17,room,424.269174277
218,Finland,18,room,511.974203852
219,Austria,19,room,511.817920277
220,Norway,20,room,491.927086668
221,Connecticut (USA),21,room,503.990553285
222,Ireland,22,room,504.144066321
223,France,23,room,508.28769851
224,Australia,24,room,496.90399138
225,Sweden,25,room,483.656742944
226,Liechtenstein,26,room,540.980175
227,Slovenia,27,room,484.920498953
228,Iceland,28,room,495.34465309
229,Japan,29,room,538.751220663
230,United States of America,30,room,485.472502847
231,Macao-China,31,room,538.63753994
232,Peru,32,room,369.842934593
233,Perm(Russian Federation),33,room,487.432443478
234,Hungary,34,room,486.562609102
235,Qatar,35,room,381.042820592
236,Denmark,36,room,491.38904002
237,Serbia,37,room,447.228349777
238,Uruguay,38,room,421.830845791
239,Spain,39,room,497.899779477
240,Luxembourg,40,room,495.765302295
241,Switzerland,41,room,524.902768775
242,Italy,42,room,494.120746228
243,Croatia,43,room,470.033771658
244,Florida (USA),44,room,470.172310843
245,United Arab Emirates,45,room,434.107290694
246,Tunisia,46,room,393.32617416
247,Greece,47,room,456.739442381
248,Chile,48,room,450.325292327
249,Russian Federation,49,room,482.988295127
250,Singapore,50,room,572.953062158
251,Bulgaria,51,room,444.308905966
252,Korea,52,room,558.540095635
253,Massachusetts (USA),53,room,510.936037353
254,Montenegro,54,room,407.216295651
255,United Kingdom,55,room,493.013055722
256,Vietnam,56,room,514.434316417
257,Costa Rica,57,room,414.151892341
258,Netherlands,58,room,520.667592734
259,Argentina,59,room,405.209094404
260,Indonesia,60,room,380.593152612
261,Turkey,61,room,461.963514728
262,Poland,62,room,523.783484923
263,Colombia,63,room,396.343318472
264,Brazil,64,room,389.551211234
265,Kazakhstan,65,room,435.225823433
266,Albania,66,room,393.953714977
267,Romania,67,room,449.296814046
