,country,math_average,tools
189,Slovenia,497.2070722,computer
190,Spain,486.2430923,computer
191,Sweden,498.7159157,computer
192,Switzerland,482.5965865,computer
193,Thailand,522.2998642,computer
194,Tunisia,460.7066917,computer
195,Turkey,410.2816906,computer
196,United Arab Emirates,467.6664629,computer
197,United Kingdom,436.6745674,computer
198,United States of America,493.4490047,computer
199,Uruguay,487.2751344,computer
200,Vietnam,420.4212025,computer
201,Albania,396.6158379,internet
202,Argentina,410.3979187,internet
203,Australia,499.7445848,internet
204,Austria,509.160674,internet
205,Belgium,522.8981499,internet
206,Brazil,398.678612,internet
207,Bulgaria,450.2750518,internet
208,Canada,512.3940462,internet
209,Chile,457.1515442,internet
210,China-Shanghai,620.7571261,internet
211,Chinese Taipei,560.0639528,internet
212,Colombia,405.0219943,internet
213,Connecticut (USA),504.9810651,internet
214,Costa Rica,421.9949698,internet
215,Croatia,472.7201639,internet
216,Czech Republic,521.9568424,internet
217,Denmark,488.0588656,internet
218,Estonia,522.9575749,internet
219,Finland,510.1220236,internet
220,Florida (USA),470.4560282,internet
221,France,502.4400021,internet
222,Germany,521.8265512,internet
223,Greece,460.0667426,internet
224,Hong Kong-China,563.4015379,internet
225,Hungary,490.4096477,internet
226,Iceland,495.2112665,internet
227,Indonesia,408.6619729,internet
228,Ireland,502.4785787,internet
229,Italy,476.0282063,internet
230,Japan,493.8723735,internet
231,Jordan,544.3338298,internet
232,Kazakhstan,397.7279031,internet
233,Korea,446.9574357,internet
234,Latvia,558.0742099,internet
235,Liechtenstein,499.3157342,internet
236,Lithuania,539.4726972,internet
237,Luxembourg,483.2825848,internet
238,Macao-China,492.5654708,internet
239,Malaysia,540.2258554,internet
240,Massachusetts (USA),442.6121945,internet
241,Mexico,510.6780002,internet
242,Montenegro,437.5573699,internet
243,Netherlands,413.1177469,internet
244,New Zealand,520.9557399,internet
245,Norway,509.0423841,internet
246,Perm(Russian Federation),491.9369252,internet
247,Peru,492.0174416,internet
248,Poland,407.2904777,internet
249,Portugal,522.7184494,internet
250,Qatar,489.433509,internet
251,Romania,385.103245,internet
252,Russian Federation,455.9069784,internet
253,Serbia,486.8700343,internet
254,Singapore,454.2675554,internet
255,Slovak Republic,571.9881256,internet
256,Slovenia,495.2431607,internet
257,Spain,485.5040526,internet
258,Sweden,499.4085755,internet
259,Switzerland,482.4563457,internet
260,Thailand,521.8360936,internet
261,Tunisia,468.177321,internet
262,Turkey,407.4383273,internet
263,United Arab Emirates,468.5322696,internet
264,United Kingdom,436.6997286,internet
265,United States of America,492.7225582,internet
266,Uruguay,486.8295912,internet
267,Vietnam,425.4024031,internet
